feature,importance
purchase_intent_high,0.2584834949194337
purchase_intent_low,0.13892054916222035
review_score,0.10423409179741198
sentiment_positive,0.09277915449423198
added_to_cart,0.07855212439241589
total_events,0.06041595686441372
purchase_intent_medium,0.05023408491771553
intent_category_ready_to_purchase,0.04965843366178653
inquired,0.044061023906477134
sentiment_negative,0.033738485895413124
sentiment_neutral,0.015356245047177025
clicked,0.01500675683560753
intent_category_delivery_concern,0.007527625210418115
user_value_segment_Unknown,0.006260583965998161
purchased,0.005052320128908869
traffic_source_Unknown,0.005012299828392429
intent_category_neutral_or_unclear,0.005010137729319843
intent_category_price_sensitive,0.004590031712184835
viewed,0.004384689183199891
delivery_delay_days,0.003974049723776768
device_type_Unknown,0.0037333339179630213
intent_category_general_negative,0.003136678788436849
user_value_segment_High Value,0.0020217323859319037
gmv,0.0017896170821131384
intent_category_product_quality_concern,0.0015544158299957169
price,0.0011346460822339204
price_band_Premium,0.0010291377818443762
user_value_segment_Low Value,0.00024760829088997326
user_value_segment_Medium Value,0.00024406890337103638
price_band_High,0.00018894614750724985
price_band_Low,0.00016477341516718622
intent_category_after_sales_issue,0.0001535734071331287
traffic_source_For You Feed,0.00014848422966342413
price_band_Medium,0.00012760634916202023
device_type_iOS,0.00011169439423809392
device_type_Android,0.00011131120945252011
traffic_source_Live Stream,6.129180367266998e-05
category_office_furniture,5.588735399191697e-05
device_type_Web,5.460134773349632e-05
traffic_source_Search,5.348967537824059e-05
category_furniture_decor,5.2465571031180443e-05
traffic_source_Creator Profile,4.371979124731241e-05
category_telephony,4.3380064654292026e-05
category_watches_gifts,3.534715613148052e-05
traffic_source_Shop Tab,3.492521219961823e-05
category_sports_leisure,3.280115916638836e-05
category_health_beauty,3.089905243096055e-05
category_cool_stuff,2.8427008609876637e-05
category_computers_accessories,2.8376048279167045e-05
category_bed_bath_table,2.7466914170784652e-05
category_housewares,2.6573814551449932e-05
category_garden_tools,1.806947302764626e-05
category_toys,1.7887524070869255e-05
category_auto,1.570477556240613e-05
category_baby,1.5302827226110904e-05
category_stationery,1.3873791026986332e-05
category_pet_shop,1.3699207187304e-05
category_perfumery,1.2860515976312306e-05
category_luggage_accessories,1.2811606727094763e-05
category_audio,9.124484758803627e-06
category_fashion_bags_accessories,8.023569799249942e-06
category_fashion_shoes,7.358096522646457e-06
category_electronics,6.864482656774547e-06
category_home_appliances_2,6.7264906304366844e-06
category_unknown,6.523038670072538e-06
category_fixed_telephony,5.771586364438728e-06
category_home_confort,5.394423273026594e-06
category_furniture_living_room,4.960931610598676e-06
category_furniture_bedroom,4.939202800244324e-06
category_books_technical,4.138623172125486e-06
category_home_construction,4.104794998786099e-06
category_small_appliances,4.035357921585062e-06
category_musical_instruments,3.896263007736784e-06
category_signaling_and_security,3.692187299198414e-06
category_construction_tools_construction,3.5468645363365435e-06
category_food,3.327650349645646e-06
category_computers,3.223554045015707e-06
category_drinks,3.0272536654742094e-06
category_home_appliances,2.7015762315274334e-06
category_air_conditioning,2.663770735614836e-06
category_construction_tools_safety,2.5041008118948437e-06
category_cine_photo,2.367900576002761e-06
category_consoles_games,2.169638998406672e-06
category_art,1.9335714990012676e-06
category_construction_tools_lights,1.297239972104796e-06
category_books_general_interest,1.0666378724635894e-06
category_small_appliances_home_oven_and_coffee,1.0224003383126186e-06
category_agro_industry_and_commerce,9.277928860139637e-07
category_market_place,8.253696271985454e-07
category_diapers_and_hygiene,6.499889906010613e-07
category_industry_commerce_and_business,5.096847230931434e-07
category_music,4.4426598037561297e-07
intent_category_comparison_shopping,3.5248894235796526e-07
category_fashion_male_clothing,1.8085099307135274e-07
category_kitchen_dining_laundry_garden_furniture,7.45790623730955e-08
category_fashion_underwear_beach,3.594551069361678e-15
category_food_drink,2.223354551850501e-15
category_flowers,2.2230152603177394e-15
category_fashion_sport,1.3983344437597568e-15
category_christmas_supplies,1.3869160525888792e-15
category_fashio_female_clothing,1.270588499593491e-15
category_dvds_blu_ray,1.235758114354402e-15
category_home_comfort_2,1.2130687622043304e-15
category_tablets_printing_image,1.1108737336204556e-15
category_costruction_tools_garden,9.066689193049252e-16
category_costruction_tools_tools,4.478602084439954e-16
category_cds_dvds_musicals,0.0
category_books_imported,0.0
category_security_and_services,0.0
category_fashion_childrens_clothes,0.0
category_arts_and_craftmanship,0.0
category_la_cuisine,0.0
category_party_supplies,0.0
category_furniture_mattress_and_upholstery,0.0
