category,seller_id,seller_city,seller_state,total_orders,unique_buyers,total_gmv,avg_order_value,avg_review_score
office_furniture,7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,882,874,217866.18,178.0,3.4
watches_gifts,4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,974,967,216144.61,217.23,4.14
watches_gifts,fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,572,570,198802.24,347.56,4.38
bed_bath_table,4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1431,1426,189813.77,123.26,3.87
bed_bath_table,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1071,1034,173784.69,136.41,4.01
computers,53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,143,142,170329.54,1135.53,4.24
watches_gifts,7e93a43ef30c4f03f38b393420bc753a,barueri,SP,296,296,165671.36,555.94,4.37
cool_stuff,7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1051,1047,152281.44,144.34,4.29
furniture_decor,1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,785,772,139148.06,108.37,3.84
garden_tools,1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1373,1358,136411.81,72.68,4.0
watches_gifts,6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1438,1414,120607.72,75.62,3.93
stationery,3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,781,777,96054.48,116.71,4.19
watches_gifts,7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,489,488,96020.86,191.66,4.03
toys,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,351,351,86259.13,235.68,4.25
health_beauty,edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,165,163,83031.14,477.19,4.45
baby,5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,105,105,78067.17,743.5,3.23
health_beauty,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1020,984,77561.4,73.59,4.11
perfumery,620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,358,356,77239.6,207.08,4.42
health_beauty,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,179,178,76457.94,415.53,4.32
auto,8581055ce74af1daba164fdbd55a40de,guarulhos,SP,380,371,73473.98,172.07,4.27
garden_tools,a1043bafd471dff536d0c462352beb48,ilicinea,MG,392,390,71189.9,170.31,4.22
perfumery,fe2032dab1a61af8794248c8196565c9,campinas,SP,290,289,69550.12,230.3,4.4
health_beauty,f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,191,191,69299.83,346.5,4.23
health_beauty,04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,92,92,61940.62,673.27,3.95
computers_accessories,de722cd6dad950a92b7d4f82673f8833,recife,PE,322,321,61093.05,169.7,4.18
telephony,53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,205,198,60467.48,241.87,4.07
bed_bath_table,37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,265,261,59887.69,218.57,4.34
sports_leisure,218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,368,359,59842.4,148.49,4.17
computers_accessories,25c5c91f63607446a97b143d2d535d31,itauna,MG,152,146,59549.4,229.92,3.72
computers_accessories,a1043bafd471dff536d0c462352beb48,ilicinea,MG,313,312,58957.31,177.58,4.29
health_beauty,17f51e7198701186712e53a39c564617,sao paulo,SP,56,56,57812.43,947.74,4.34
furniture_decor,77530e9772f57a62c906e1c21538ab82,curitiba,PR,307,303,53346.51,143.4,4.1
bed_bath_table,8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,375,373,53200.87,127.27,3.88
telephony,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1109,1097,53061.9,45.63,3.99
unknown,c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,345,345,49977.86,137.3,4.09
watches_gifts,2bf6a2c1e71bbd29a4ad64e6d3c3629f,nova friburgo,RJ,29,29,49731.22,1657.71,4.17
sports_leisure,4d6d651bd7684af3fffabd5f08d12e5a,jau,SP,356,343,49166.61,129.05,4.2
health_beauty,620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,364,352,49038.58,121.08,4.15
sports_leisure,c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,276,264,48420.44,158.76,4.45
health_beauty,06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,385,48169.5,119.82,4.04
cool_stuff,ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,172,170,48006.39,268.19,4.23
perfumery,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,612,606,47726.79,74.81,4.2
watches_gifts,966cb4760537b1404caedd472cc610a5,diadema,SP,67,66,47432.57,707.95,4.12
office_furniture,17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,120,119,46848.08,327.61,4.22
auto,712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,77,77,46149.82,542.94,3.48
furniture_decor,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,433,432,45595.45,86.36,4.05
furniture_decor,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,444,436,44077.44,82.39,3.96
cool_stuff,834f3294fba9f932f56edc879193f925,araraquara,SP,65,65,43368.02,667.2,4.57
home_appliances,d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,490,448,43045.52,87.85,4.15
bed_bath_table,1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,412,410,41276.03,75.6,3.63
musical_instruments,f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,97,97,41130.3,403.24,4.29
health_beauty,c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,260,252,40190.56,119.61,4.32
home_appliances_2,e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,34,34,40124.01,1180.12,4.71
sports_leisure,c3867b4666c7d76867627c2f7fb22e21,guara,SP,228,226,39360.2,163.32,4.02
luggage_accessories,5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,183,181,39327.78,199.63,4.37
watches_gifts,634964b17796e64304cadf1ad3050fb7,rio de janeiro,RJ,218,213,38847.23,141.26,3.89
consoles_games,522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,91,90,38618.84,410.84,3.81
furniture_decor,0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,235,38251.61,155.49,4.31
watches_gifts,b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,127,127,37790.62,290.7,4.22
garden_tools,eeb6de78f79159600292e314a77cbd18,lages,SC,66,65,37780.54,563.89,4.37
small_appliances,59417c56835dd8e2e72f91f809cd4092,limeira,SP,18,17,37657.77,2092.1,4.28
computers_accessories,88460e8ebdecbfecb5f9601833981930,maringa,PR,246,240,36258.59,120.86,3.38
housewares,53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,425,419,35268.76,75.36,4.13
computers_accessories,9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,SP,151,150,35050.79,177.02,4.13
housewares,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,175,172,34334.07,144.87,3.74
health_beauty,5c243662ce92d84573bfaff24c3e3700,sao paulo,SP,95,95,33517.14,345.54,4.12
auto,7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,225,223,33012.62,145.43,4.03
agro_industry_and_commerce,e59aa562b9f8076dd550fcddf0e73491,curitiba,PR,69,69,32876.37,400.93,4.33
computers_accessories,87142160b41353c4e5fca2360caf6f92,porto alegre,RS,246,243,32805.34,118.43,4.34
baby,855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,273,270,32298.99,114.54,3.83
computers_accessories,0b90b6df587eb83608a64ea8b390cf07,maringa,PR,163,162,32090.94,153.55,4.02
musical_instruments,d23019c84ffae2d5ef2270367b8605fc,londrina,PR,39,39,31954.84,819.35,4.41
bed_bath_table,1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,400,393,31688.41,61.77,3.88
health_beauty,900ba814c251a692506d7834c1218441,salto,SP,86,86,31167.46,362.41,4.24
furniture_decor,391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,266,264,30999.35,94.51,3.86
computers_accessories,e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,165,163,30835.96,144.09,4.08
cool_stuff,7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,166,166,30703.46,183.85,3.98
bed_bath_table,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,225,223,30498.16,126.55,3.72
bed_bath_table,d1c281d3ae149232351cd8c8cc885f0d,ibitinga,SP,208,205,30328.3,130.16,3.82
cool_stuff,12b9676b00f60f3b700e83af21824c0e,montenegro,RS,130,130,29389.38,226.07,4.55
computers,7681ef142fd2c19048da7430856b5588,guarulhos,SP,25,25,29358.38,733.96,4.2
garden_tools,001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,172,172,28948.08,139.85,3.97
home_confort,2528513dd95219a6013d4d05176e391a,osasco,SP,93,93,28830.45,303.48,4.01
bed_bath_table,d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,487,475,28798.18,49.14,3.73
sports_leisure,70eea00b476a314817cefde4aad4f89a,itatiba,SP,87,86,28676.18,315.12,4.45
computers_accessories,9f505651f4a6abe901a56cdc21508025,sao paulo,SP,338,336,28529.56,79.25,4.32
home_confort,4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,223,222,28527.14,118.86,3.69
sports_leisure,76d5af76d0271110f9af36c92573f765,sao paulo,SP,88,85,27705.75,274.31,4.1
bed_bath_table,dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,210,209,26821.75,119.74,3.76
bed_bath_table,1a3df491d1c4f1589fc2b934ada68bf2,joinville,SC,160,160,26550.63,155.27,4.24
computers_accessories,897060da8b9a21f655304d50fd935913,ribeirao preto,SP,293,289,26531.26,66.49,3.49
perfumery,17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,130,129,26402.3,197.03,4.34
construction_tools_construction,b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,SP,19,19,26387.26,1388.8,4.47
electronics,8b321bb669392f5163d04c59e235e066,sao paulo,SP,838,835,26340.55,29.33,4.01
