strategy,recommended_category,recommendations,unique_users,unique_products,avg_recommendation_score,avg_product_high_intent_rate,avg_product_review_score,avg_seller_review_score
category_preference,bed_bath_table,451,451,2,0.8421,0.8793,3.962,3.861
category_preference,health_beauty,423,423,2,0.6919,0.903,4.2408,4.2213
category_preference,sports_leisure,380,380,2,0.2851,0.9168,4.1537,4.1731
category_preference,computers_accessories,342,342,2,0.7749,0.9076,4.2867,4.2457
category_preference,housewares,320,320,2,0.3705,0.9068,4.0145,4.029
category_preference,furniture_decor,314,314,2,0.7642,0.9147,4.0795,4.1115
category_preference,watches_gifts,294,294,2,0.6599,0.9222,4.1895,4.0278
category_preference,auto,203,203,3,0.3279,0.9331,4.3307,4.2687
category_preference,telephony,200,200,2,0.2945,0.9805,4.3135,4.1325
category_preference,toys,197,197,2,0.2888,0.9185,4.3662,4.4428
category_preference,cool_stuff,180,180,2,0.4543,0.9207,4.5529,4.5425
category_preference,baby,151,151,2,0.332,0.6335,2.7467,4.03
category_preference,garden_tools,150,150,3,0.6631,0.9417,3.9898,3.9966
category_preference,electronics,139,139,2,0.2678,0.8448,4.0714,4.0326
category_preference,perfumery,138,138,2,0.342,0.9159,4.4044,4.1649
category_preference,stationery,122,122,2,0.3008,0.9349,4.4899,4.1592
category_preference,pet_shop,91,91,1,0.2388,0.8333,4.4634,4.4774
category_preference,unknown,89,89,2,0.4358,0.9156,4.3524,4.1747
category_preference,fashion_bags_accessories,84,84,2,0.3246,0.8716,4.0795,3.9821
category_preference,office_furniture,83,83,2,0.256,0.9149,3.4599,3.3572
category_preference,luggage_accessories,52,52,2,0.3149,0.9801,4.3986,4.0292
category_preference,consoles_games,49,49,2,0.3214,0.9141,4.2137,4.1004
category_preference,home_appliances,38,38,1,0.2517,1.0,4.7,4.5862
category_preference,small_appliances,35,35,2,0.2326,1.0,4.6549,4.6456
category_preference,food,32,32,2,0.2796,0.9551,4.2854,4.3297
category_preference,musical_instruments,30,30,1,0.3148,1.0,4.3077,4.4103
category_preference,construction_tools_construction,29,29,1,0.2556,1.0,5.0,4.0278
category_preference,home_confort,25,25,2,0.3248,0.8294,4.2234,3.8864
category_preference,books_general_interest,22,22,2,0.243,0.8801,4.2666,4.2323
category_preference,home_construction,19,19,1,0.2227,0.9429,4.1429,3.8789
category_preference,books_technical,17,17,2,0.2184,0.9891,4.9104,4.5649
category_preference,construction_tools_lights,17,17,2,0.29,0.8988,4.2059,3.9171
category_preference,kitchen_dining_laundry_garden_furniture,16,16,1,0.2201,0.9643,4.6786,4.144
category_preference,agro_industry_and_commerce,15,15,2,0.2518,0.9926,4.6748,4.3293
category_preference,air_conditioning,15,15,1,0.2226,1.0,5.0,4.4444
category_preference,audio,15,15,1,0.2521,0.875,4.75,4.0228
category_preference,food_drink,15,15,2,0.2107,0.9223,4.7524,4.5946
category_preference,computers,14,14,2,0.433,0.9337,4.5881,4.1325
category_preference,furniture_living_room,14,14,1,0.2229,0.9524,4.7143,4.2734
category_preference,drinks,13,13,2,0.2487,0.9625,4.5391,4.2073
category_preference,industry_commerce_and_business,13,13,2,0.2266,0.9174,4.4015,4.0501
category_preference,market_place,13,13,2,0.2056,1.0,4.858,4.5228
category_preference,art,12,12,2,0.2401,0.9283,4.5968,4.0896
category_preference,construction_tools_safety,12,12,1,0.2042,1.0,5.0,3.9785
category_preference,costruction_tools_garden,12,12,1,0.2109,1.0,5.0,4.32
category_preference,home_appliances_2,12,12,1,0.2765,1.0,4.8571,4.5862
category_preference,fashion_shoes,11,11,1,0.2087,1.0,5.0,4.26
category_preference,signaling_and_security,10,10,1,0.2034,1.0,5.0,4.5455
category_preference,fashion_male_clothing,9,9,1,0.2032,1.0,5.0,4.8333
category_preference,christmas_supplies,8,8,1,0.201,1.0,5.0,4.0
category_preference,fixed_telephony,8,8,1,0.2086,1.0,5.0,4.2222
category_preference,furniture_bedroom,6,6,2,0.2157,0.9583,4.9167,4.5365
category_preference,fashion_underwear_beach,5,5,1,0.2018,0.6667,5.0,4.0784
category_preference,music,5,5,1,0.2032,1.0,5.0,4.4211
category_preference,tablets_printing_image,5,5,1,0.2017,1.0,5.0,4.219
category_preference,costruction_tools_tools,4,4,2,0.2061,1.0,4.9546,4.4725
category_preference,flowers,4,4,2,0.2032,1.0,4.95,4.3368
category_preference,small_appliances_home_oven_and_coffee,4,4,1,0.267,0.8947,4.3684,4.375
category_preference,books_imported,3,3,1,0.209,1.0,5.0,4.5652
category_preference,party_supplies,3,3,1,0.2051,1.0,5.0,4.5455
category_preference,cine_photo,2,2,1,0.2045,0.9167,4.8333,4.5556
category_preference,fashio_female_clothing,2,2,1,0.2035,1.0,5.0,3.9082
category_preference,furniture_mattress_and_upholstery,2,2,2,0.192,0.9546,4.4697,4.0265
category_preference,arts_and_craftmanship,1,1,1,0.2005,1.0,5.0,4.5
category_preference,diapers_and_hygiene,1,1,1,0.1832,0.875,4.5,4.1774
intent_aware,furniture_decor,3347,3347,1,0.9663,0.9108,4.0538,4.0944
intent_aware,bed_bath_table,456,456,1,1.0524,0.877,3.9444,3.8415
intent_aware,health_beauty,423,423,2,1.0052,0.903,4.2408,4.2213
intent_aware,computers_accessories,342,342,2,1.0538,0.9076,4.2867,4.2457
intent_aware,watches_gifts,282,282,1,1.0107,0.9257,4.2056,4.0228
intent_aware,garden_tools,150,150,3,1.0066,0.9417,3.9898,3.9966
popularity_based,bed_bath_table,4981,4981,1,0.8569,0.877,3.9444,3.8415
popularity_based,furniture_decor,19,19,1,0.8019,0.9108,4.0538,4.0944
