user_id,user_value_segment,preferred_category,strategies_received,recommended_products,recommended_categories,avg_recommendation_score,avg_product_high_intent_rate,avg_seller_review_score
002feefec5af0a3b26ee7839c66d205e,Medium Value,garden_tools,3,2,2,0.8484,0.9232,3.9449
0037d2bbb9ebc39d9114aea27ee16d72,Medium Value,furniture_decor,3,2,2,0.9071,0.8995,4.0101
003d56767e53e08671de00da3fba8d40,High Value,bed_bath_table,3,1,1,0.9316,0.877,3.8415
004b9b1634b7becda8eec4e96bced882,High Value,sports_leisure,3,3,3,0.7082,0.9015,4.0378
004ed862ea4e55f18868d3d782d10879,Medium Value,luggage_accessories,3,3,3,0.7117,0.9232,3.9884
005f4b46e70bbd3295a38e2fd28d6566,Low Value,bed_bath_table,3,1,1,0.9149,0.877,3.8415
005ff4ebe100db3eebbe6f7b19a8f99a,High Value,office_furniture,3,3,3,0.6987,0.9007,3.7644
0064c96f536ac6250275482221834154,Low Value,housewares,3,3,3,0.7206,0.8983,3.9855
0065f7795a38381973a373c8b4939679,Low Value,stationery,3,3,3,0.6969,0.9076,4.0317
00765d375af0e700f61c57db00a8ee63,High Value,bed_bath_table,3,1,1,0.9316,0.877,3.8415
007b8307b6448f0425ff2001f00c1bdb,Low Value,electronics,3,3,3,0.6859,0.8758,3.9873
00a7d14cb10e11b7f7d65120a7e3942f,Low Value,sports_leisure,3,3,3,0.6916,0.9015,4.0378
00b1066a65657ee1759544f6b61a4e2c,Low Value,health_beauty,3,2,2,0.8439,0.8941,4.0927
00b2ca23369b68c4d4105ecea9c0cb93,Medium Value,sports_leisure,3,3,3,0.7016,0.9015,4.0378
00b72937dcd829c0d8ca72ec77cd073c,Medium Value,telephony,3,3,3,0.7046,0.923,4.0228
00ba737b18a7996f68cb8a99556bedd4,Medium Value,perfumery,3,3,3,0.7205,0.9003,4.0266
00c4592dfbfe06775ab582d7a2b8dddf,Low Value,christmas_supplies,3,3,3,0.6634,0.9293,3.9786
00e10a3ff1e104902141546420f5a18b,Low Value,health_beauty,3,2,2,0.8439,0.8941,4.0927
00e336519abc0012c8711db2132467ac,Medium Value,bed_bath_table,3,1,1,0.9249,0.877,3.8415
00eca7e1c994897d0a31bf75478f4b55,High Value,bed_bath_table,3,1,1,0.9316,0.877,3.8415
01196e80f5309cb251220a6a5b3f57f5,Low Value,audio,3,3,3,0.6805,0.8876,3.9862
0130be8e6677174b8184114f98c16b3c,Medium Value,toys,3,3,3,0.7029,0.9023,4.128
013f3d6549189a4802a268131ef47a77,Medium Value,housewares,3,3,3,0.7306,0.8983,3.9855
013f66477aa3210eb05fec3fa184de33,Unknown,stationery,3,3,3,0.6969,0.9076,4.0317
014dc284927e986549bf255eb79eb3ab,Medium Value,fashion_bags_accessories,3,3,3,0.7168,0.8864,3.9651
0152897024d0ddad70baafe17ed705f4,Medium Value,sports_leisure,3,3,3,0.7016,0.9015,4.0378
0153b79c47a4953a7dad6fb93ab45a02,High Value,small_appliances,3,3,3,0.6882,0.9293,4.119
0180d29fed77d26d59490f37198514a1,Medium Value,auto,3,3,3,0.7161,0.9068,4.0676
018875156db79cf3fb697342f256c329,Low Value,auto,3,3,3,0.7061,0.9068,4.0676
019d47513bb1164cc83fc2d6d7123ef8,High Value,baby,3,3,3,0.7238,0.8065,3.9884
01a379e7c61f254c6c1bfc842b4d9416,Low Value,housewares,3,3,3,0.7206,0.8983,3.9855
01b0e4e53ea06107438b0738d8d670e2,High Value,home_confort,3,3,3,0.7397,0.8848,3.9258
01b51b6ca4757ff714f2a54043e5c7b4,Medium Value,stationery,3,3,3,0.7005,0.9055,4.0317
01bfd443225216fd172d2af98ae80068,High Value,computers_accessories,3,2,2,0.8501,0.9128,4.0604
01d46b5cad3cda9c22f52df41197a671,Low Value,computers_accessories,3,2,2,0.8879,0.8968,4.113
01d8df79b0fe245a03928d53fc25c223,Medium Value,cool_stuff,3,3,3,0.7582,0.9028,4.1605
01deea8faf538e657bf2b1cb6b6c24f1,Low Value,telephony,3,3,3,0.6946,0.923,4.0228
0206671ca1e6cea41033a21774bef222,Medium Value,watches_gifts,3,2,2,0.8431,0.9095,3.9624
020747bd836e23bc8e3692937ad85497,Low Value,sports_leisure,3,3,3,0.6916,0.9015,4.0378
021bca90c906d19b425e192070eb6f68,Medium Value,construction_tools_construction,3,3,3,0.6916,0.9293,3.9879
0220755d57fdf6a1f63f39f51bb5fb90,Low Value,pet_shop,3,3,3,0.676,0.8737,4.1378
022949b07073de5d6173732ea01d6155,Low Value,toys,3,3,3,0.6929,0.9023,4.128
02379fc0d5e683d41ccde86f75bbfaf4,Medium Value,health_beauty,3,2,2,0.8539,0.8941,4.0927
023986b2b457eb7ffc5a7669a6dad6fa,Low Value,bed_bath_table,3,1,1,0.9149,0.877,3.8415
023f426e28a212b8328b41649a2b1a05,Low Value,garden_tools,3,2,2,0.8384,0.9232,3.9449
024ab3d97dd522b7f5173b905628f9fd,Medium Value,home_appliances,3,3,3,0.6903,0.9293,4.174
025ef887ab57255584e60873ea086144,Low Value,electronics,3,3,3,0.6859,0.8758,3.9873
0264a651d41a6d387cf2f061b5f914d3,Medium Value,unknown,3,3,3,0.6768,0.9293,4.1709
027d053c7d8203f3ebb4512da23681fb,High Value,construction_tools_construction,3,3,3,0.6983,0.9293,3.9879
027e682a11d8db5a162f01e1b59700cb,Medium Value,health_beauty,3,2,2,0.8539,0.8941,4.0927
0280c3bae373e59fd0f564cf9b0188a1,Low Value,computers_accessories,3,2,2,0.8879,0.8968,4.113
02943af04041ca7713d7ef096d5d7a8a,Low Value,garden_tools,3,2,2,0.8053,0.9029,3.9449
02961f000d03958b88e9cba0cf6253cb,High Value,perfumery,3,3,3,0.7272,0.9003,4.0266
02ab167135d5d29cdc77b3147d75c1ef,Low Value,health_beauty,3,2,2,0.8439,0.8941,4.0927
02ab4d19fd037fa00ad9892f7d529a8f,Medium Value,toys,3,3,3,0.7029,0.9023,4.128
