seller_id,seller_city,seller_state,total_orders,unique_buyers,total_gmv,avg_order_value,avg_review_score
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,1117,247007.06,215.16,4.15
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,962,237806.69,175.5,3.36
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1772,1759,231220.43,118.64,3.84
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,348,340,230797.02,576.99,4.13
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,578,575,200833.5,346.86,4.38
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1311,1272,184706.78,119.32,4.07
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,319,319,171973.55,534.08,4.37
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,910,894,171924.96,121.07,3.88
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1145,1140,160278.52,138.77,4.27
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1261,1256,156606.48,106.39,4.09
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1819,1790,148050.94,74.17,3.96
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1399,1383,141712.94,73.58,4.0
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,503,503,134162.88,256.53,4.27
a1043bafd471dff536d0c462352beb48,ilicinea,MG,702,698,130412.74,173.42,4.25
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,722,708,126278.18,162.31,4.28
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1651,1607,125936.99,73.26,4.14
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,322,318,124702.92,363.57,4.03
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,558,557,120934.47,211.79,4.02
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1064,1058,115515.65,102.14,4.16
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,165,163,83031.14,477.19,4.45
